X,Y,Topography,Grav,Mag
608050,1579260,606.8858846,-95.09254751,-42.38501358
609250,1579260,608.5924174,-95.92625322,-63.9745636
610450,1579260,610.4222616,-96.82036009,-36.58460617
611650,1579260,616.5592346,-97.11521597,-49.17556763
612850,1579260,622.7751668,-97.20592432,-31.64620972
614050,1579260,630.0443827,-97.10766015,-28.7572422
615250,1579260,633.7395935,-97.077879,-20.96556473
616450,1579260,639.0233765,-95.90322857,-15.35715961
617650,1579260,649.2444356,-93.50075521,-67.55712128
618850,1579260,667.4484965,-92.63387227,-20.01592255
620050,1579260,687.9900513,-91.4663322,-29.39856339
621250,1579260,694.4417725,-91.17109523,-14.87062073
622450,1579260,708.5803833,-92.91802506,-8.920679092
623650,1579260,734.3249715,-93.53572316,-16.54693794
624850,1579260,757.3944702,-91.61908493,-13.86767292
626050,1579260,764.9692891,-86.7395988,-18.48604774
627250,1579260,769.4906718,-83.61144028,-22.55996895
628450,1579260,759.1407674,-83.3238977,-23.44132996
629650,1579260,754.0206197,-86.74572487,-29.67856598
630850,1579260,758.8125305,-87.35288191,-18.92336273
632050,1579260,761.047526,-86.80408115,0.817073822
633250,1579260,747.35554,-88.10235023,13.38513565
634450,1579260,738.3922933,-89.03333673,10.95173073
635650,1579260,729.6556803,-90.90613017,5.912460327
636850,1579260,719.1773173,-91.09073052,14.64107132
638050,1579260,710.6383972,-91.87898331,2.447875977
639250,1579260,707.3941854,-92.71618252,-11.6692276
640450,1579260,701.6965434,-95.10969748,-24.35837555
641650,1579260,692.8915507,-96.04648118,-24.63882256
642850,1579260,692.7241821,-94.98222623,-21.87693977
644050,1579260,697.6583964,-92.75166907,-17.21215248
645250,1579260,701.7557271,-88.68394513,-13.94135761
646450,1579260,708.1315816,-84.19192891,-12.77052116
647650,1579260,715.7335307,-74.13587489,-8.437045097
648850,1579260,730.1166992,-66.77244053,-6.777090073
650050,1579260,729.8621114,-64.77875841,-2.646730423
651250,1579260,733.0151367,-66.34992824,-13.14189434
652450,1579260,759.5870361,-65.93774023,-21.6234951
653650,1579260,739.0961609,-64.42584438,-22.39352798
654850,1579260,700.982371,-63.21243842,-9.315160751
656050,1579260,687.6780599,-60.79482603,-4.270476341
657250,1579260,679.3473104,-64.23218722,-5.581138611
658450,1579260,674.0933126,-66.99750495,2.263397217
659650,1579260,665.6494649,-67.01754212,-4.481910706
660850,1579260,657.103068,-67.35097904,-0.951955795
662050,1579260,661.0590108,-66.47622309,8.546426773
663250,1579260,663.7865702,-64.80534816,8.598981857
664450,1579260,671.3593241,-63.16486704,11.46115494
665650,1579260,668.5026143,-65.0355094,15.14390373
666850,1579260,658.3270467,-69.31161046,14.92078972
668050,1579260,650.3175761,-74.56976995,12.00632095
669250,1579260,633.4138082,-79.71224499,0.833431244
670450,1579260,618.8489278,-82.05755653,5.716262817
671650,1579260,611.8405253,-82.78335319,17.19700813
672850,1579260,605.6238302,-83.84656444,13.39724731
674050,1579260,597.0259501,-84.06819386,21.56365013
675250,1579260,589.8285421,-83.97094131,25.6702404
676450,1579260,587.0374451,-84.20702405,30.16882133
677650,1579260,582.0676066,-84.37862802,32.36981201
678850,1579260,576.8861389,-84.59476738,37.43987274
680050,1579260,572.318929,-83.20803638,41.89910126
681250,1579260,568.4141134,-82.28300166,44.42751312
682450,1579260,564.3034261,-81.79863534,42.25731659
683650,1579260,559.692627,-81.38356233,43.91590881
684850,1579260,561.7833252,-80.8172183,46.69202423
686050,1579260,568.8845011,-80.36525035,59.93294525
687250,1579260,565.914917,-79.9824863,80.52501678
688450,1579260,570.2877706,-79.52459378,126.6931076
